run,n,mean_age,hpd95_lower,hpd95_upper,BF_data_over_prior,support,n_older,ratio_older,
"CPP_suggested, with data",18001,73.49786183,57.90447194743351,87.77552152986729,122.42353116731044,over 66,14865,0.8257874562524304,
"CPP_suggested, prior only",18001,59.15726540972632,55.93500835817709,65.32434049030218,,,671,0.037275706905171936,
"CPP_suggested_condCalFalse, with data",10064,66.44838864511894,55.93860584802181,78.47130793,55.93838548260686,over 66,4820,0.47893481717011127,
"CPP_suggested_condCalFalse, prior only",18001,58.527712385158665,55.93524815606325,63.58630517399983,,,291,0.016165768568412866,
"CPP_uniform, with data",5522,64.06176923570348,60.26997998249554,66.09498388639537,5.219499418,over 66,235,0.042557045,
"CPP_uniform, prior only",18001,61.00476919936562,56.08549603942862,65.71647999224778,,,152,0.008443975,
"CPP_uniform_condCalFalse, with data",5715,63.42932870952791,58.72715828234375,66.09484126168614,5.154582437178068,over 66,174,0.030446194225721784,
"CPP_uniform_condCalFalse, prior only",18001,60.44357663997735,55.93540035791753,65.39133425735432,,,109,0.006055219,
"BD_suggested, with data",18001,66.30159972326051,55.938175697291086,78.61074382341872,47.48329521090797,over 66,8474,0.4707516249097272,
"BD_suggested, prior only",18001,58.60683731378446,55.93509156842668,63.82866779,,,331,0.018387867340703294,
"BD_uniform, with data",6217,63.48885982,58.82304549328786,66.09468181355436,4.812455998,over 66,215,0.034582596,
"BD_uniform, prior only",18001,60.48707113521707,55.93671272677342,65.38276248302412,,,133,0.007388478,
,,,,,,,,,
H0,H1,odds_h0,odds_h1,BF,twoln_bf,winner,strength,,
"CPP_suggested, with data","CPP_suggested_condCalFalse, with data",4.740114795918368,0.9191456903127384,5.157087549750191,3.2807439836016883,"CPP_suggested, with data",positive,,
"CPP_suggested, with data","BD_suggested, with data",4.740114795918368,0.8894720268709981,5.329133073013252,3.3463771489643492,"CPP_suggested, with data",positive,,
"CPP_suggested, with data","CPP_uniform, with data",4.740114795918368,0.044448648,106.64249755753367,9.338964192106381,"CPP_suggested, with data",strong,,
"CPP_suggested_condCalFalse, with data","CPP_uniform_condCalFalse, with data",0.9191456903127384,0.031402274,29.27003603461427,6.753128663627752,"CPP_suggested_condCalFalse, with data",strong,,
"BD_suggested, with data","BD_uniform, with data",0.8894720268709981,0.035821393,24.83074932688247,6.424165554704749,"BD_suggested, with data",strong,,
,,,,,,,,,
M1,M2,P(M1|D),P(M2|D),P(M1),P(M2),BF,twoln_bf,winner,strength
BD_suggested,CPP_suggested,0.4707516249097272,0.8257874562524304,0.018387867340703294,0.037275706905171936,1.1556280441394502,0.2892879146978503,BD_suggested,not worth more than a bare mention
BD_uniform,CPP_uniform,0.034582596,0.042557045,0.007388478,0.008443975,0.9287056326094789,0.14792691034242286,CPP_uniform,not worth more than a bare mention
