run,n,mean_age,hpd95_lower,hpd95_upper,BF_data_over_prior,support,n_older,ratio_older
"CPP_suggested, with data",18001,73.4978618280701,57.90447194743351,87.77552152986729,122.42353116731044,over 66,14865,0.8257874562524304
"CPP_suggested, prior only",18001,59.15726540972632,55.93500835817709,65.32434049030218,,,671,0.037275706905171936
"CPP_suggested_condCalFalse, with data",18001,66.45237310617478,55.93902298235075,78.56709150699629,56.05922608896566,over 66,8631,0.4794733625909672
"CPP_suggested_condCalFalse, prior only",18001,58.527712385158665,55.93524815606325,63.58630517399983,,,291,0.016165768568412866
"CPP_uniform, with data",7974,64.09336783963744,60.33157877699149,66.09498388639537,5.1978181605139095,over 66,338,0.04238776022071733
"CPP_uniform, prior only",18001,61.00476919936562,56.08549603942862,65.71647999224778,,,152,0.008443975334703627
"CPP_uniform_condCalFalse, with data",8235,63.463727360623814,58.82662515062166,66.09484126168614,5.096832812035154,over 66,248,0.030115361262902245
"CPP_uniform_condCalFalse, prior only",18001,60.44357663997735,55.93540035791753,65.39133425735432,,,109,0.006055219154491417
"CPP_dosReis, with data",18001,65.99405357315258,57.600461481287745,79.16652961676476,0.33545664796064156,under 66,7502,0.41675462474306985
"CPP_dosReis, prior only",18001,71.84539433947268,57.64057133964774,86.53649621173307,,,12250,0.6805177490139437
"CPP_dosReis_condCalFalse, with data",18001,62.630235154891345,57.600203706239704,71.56026190157095,0.5095223325961118,under 66,3424,0.19021165490806066
"CPP_dosReis_condCalFalse, prior only",18001,64.63927882399703,57.60024453657183,76.5742455205982,,,5680,0.3155380256652408
"BD_suggested, with data",18001,66.30159972326051,55.938175697291086,78.61074382341872,47.48329521090797,over 66,8474,0.4707516249097272
"BD_suggested, prior only",18001,58.60683731378446,55.93509156842668,63.8286677879155,,,331,0.018387867340703294
"BD_uniform, with data",11306,63.49860423135174,58.90529780445444,66.09447786435932,4.787078991791102,over 66,389,0.03440650981779586
"BD_uniform, prior only",18001,60.48707113521707,55.93671272677342,65.38276248302412,,,133,0.007388478417865674
"CPP_calibrationPrior_uniform, with data",1801,58.994142422430286,46.859012185816724,72.15268138470977,1.4802367298315604,over 66,265,0.14714047751249307
"CPP_calibrationPrior_uniform, prior only",1801,56.73503577783747,44.07235352107796,72.41539921207479,,,188,0.10438645197112716
"CPP_calibrationPrior_uniform_condCalFalse, with data",1801,47.98236964929641,37.89459224398661,58.70954685655955,,n/a (no prior-only run),5,0.00277623542476402
"CPP_calibrationPrior_dosReis, with data",1801,83.06048710477786,82.58172594263705,83.4970531745175,,n/a (empty tail),1801,1.0
"CPP_calibrationPrior_dosReis, prior only",1801,85.24231947094117,83.33705050881747,86.57610053043416,,,1801,1.0
"CPP_calibrationPrior_dosReis_condCalFalse, with data",1801,73.25914155807106,72.78776268234445,73.60958741241592,,n/a (no prior-only run),1801,1.0

H0,H1,odds_h0,odds_h1,BF,twoln_bf,winner,strength
"CPP_suggested, with data","CPP_suggested_condCalFalse, with data",4.740114795918368,0.9211312700106724,5.145970992672356,3.27642815394942,"CPP_suggested, with data",positive
"CPP_suggested, with data","BD_suggested, with data",4.740114795918368,0.8894720268709981,5.329133073013252,3.3463771489643492,"CPP_suggested, with data",positive
"CPP_suggested, with data","CPP_uniform, with data",4.740114795918368,0.044264012572027236,107.08732716459366,9.347289286649039,"CPP_suggested, with data",strong
"CPP_suggested_condCalFalse, with data","CPP_uniform_condCalFalse, with data",0.9211312700106724,0.031050456992612996,29.66562682893242,6.779978059479193,"CPP_suggested_condCalFalse, with data",strong
"BD_suggested, with data","BD_uniform, with data",0.8894720268709981,0.03563249977099936,24.96238076439765,6.434739844283096,"BD_suggested, with data",strong
"CPP_dosReis, with data","CPP_suggested, with data",0.7145442423087913,4.740114795918368,0.15074407964213718,3.7843434336700166,"CPP_suggested, with data",positive
"CPP_dosReis, with data","CPP_uniform, with data",0.7145442423087913,0.044264012572027236,16.14278057476311,5.562945852979022,"CPP_dosReis, with data",positive
"CPP_dosReis_condCalFalse, with data","CPP_dosReis, with data",0.23489058105234273,0.7145442423087913,0.32872783397341326,2.2250502458785424,"CPP_dosReis, with data",positive
"CPP_calibrationPrior_uniform, with data","CPP_calibrationPrior_uniform_condCalFalse, with data",0.17252604166666669,0.0027839643652561247,61.97135416666667,8.253344497413298,"CPP_calibrationPrior_uniform, with data",strong
"CPP_calibrationPrior_uniform, with data","CPP_uniform, with data",0.17252604166666669,0.044264012572027236,3.8976593318540442,2.720752403282449,"CPP_calibrationPrior_uniform, with data",positive

M1,M2,P(M1|D),P(M2|D),P(M1),P(M2),BF,twoln_bf,winner,strength
BD_suggested,CPP_suggested,0.4707516249097272,0.8257874562524304,0.018387867340703294,0.037275706905171936,1.1556280441394502,0.2892879146978503,BD_suggested,not worth more than a bare mention
BD_uniform,CPP_uniform,0.03440650981779586,0.04238776022071733,0.007388478417865674,0.008443975334703627,0.927666979838053,0.15016493706797124,CPP_uniform,not worth more than a bare mention
